name,url,img,loc,Loại hình di tích,Loại hình xếp hạng,Xếp hạng,Niên đại tuyệt đối,Niên đại chủ đạo,Tọa độ,Đối tượng thờ,Dấu vết vật chất sớm nhất,Quyết định xếp hạng,Tên khác,Niên đại khởi dựng
Chùa Tả Quan,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6135,http://ditich.vn\upload\images\ditich\Ch-T0358.jpg,"Hải Phòng,Thủy Nguyên, Dương Quan",Chùa,,,Tiền đường,Nhà tổ,"20°53'35.9""N 106°41'07.3""E",Phật,04 Bia,UBND Thành phố - 2006,,
Chùa Đông Trúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6134,http://ditich.vn\upload\images\ditich\Ch-D0265.jpg,"Hải Phòng, Thủy Nguyên, thị trấn Minh Đức",Chùa,,,,,"20°57'23.4""N 106°44'48.4""E",Phật,,,,
Đình Mỹ Lộc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6133,http://ditich.vn\upload\images\ditich\Di-M0088.jpg,"Hải Phòng, Tiên Lãng, Tiến Thắng",Đình,,Di tích cấp Tỉnh,Đại đình,Đại đình,"20°41'25.5""N 106°37'30.0""E",5 vị,01 Hương án,UBND Tỉnh – 2006,,
Chùa Thắng Phúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6132,http://ditich.vn\upload\images\ditich\Ch-T0356.jpg,"Hải Phòng, Tiên Lãng, Tiến Thắng",Chùa,,,Tiền đường,Tiền đường,"20°41'51.0""N 106°37'16.9""E",Phật,02 Tượng,,,
Đình Xa Vĩ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6131,http://ditich.vn/upload/files/Dinh%20Xa%20Vi.JPG,"Hải Phòng, Tiên Lãng, Tiến Minh",Đình,,Di tích cấp Tỉnh,Đại đình,,"20°40'28.6""N 106°35'54.8""E",Liêm Bồ,Bia,UBND Tỉnh – 2008,,
Chùa Xa Vĩ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6130,http://ditich.vn\upload\images\ditich\Ch-X0033.jpg,"Hải Phòng, Tiên Lãng, Tiến Minh",Chùa,,Di tích cấp Tỉnh,Tiền đường + Thượng điện – 1995,,"20°40'54.0""N 106°35'51.7""E",Phật,01 Cây hương – Vĩnh Thịnh 2 (1706); +02 Rồng bậc thềm – Cuối thế kỷ 17 +03 Bia,UBND Tỉnh – 2008,Phúc Quang tự,
Chùa Đông Minh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6129,http://ditich.vn\upload\images\ditich\Ch-D0264.jpg,"Hải Phòng, Tiên Lãng, Tiến Minh",Chùa,,Di tích cấp Tỉnh,Tiền đường,Tiền đường,"20°46'59.9""N 106°36'41.2""E",Phật,03 Tượng,UBND Tỉnh - 2006,Đông Phúc tự,
Nhà ông Nguyễn Văn Thiêm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6128,http://ditich.vn\upload\images\ditich\NC-N0318.jpg,"Hải Phòng, Tiên Lãng, Toàn Thắng",Nhà cổ,,,Nhà chính,Nhà chính,"20°42'31.6""N 106°36'03.5""E",,,,,
Nhà ông Nguyễn Văn Ánh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6127,http://ditich.vn\upload\images\ditich\NC-N0317.jpg,"Hải Phòng, Tiên Lãng, Toàn Thắng",Nhà cổ,,,,Nhà chính,"20°42'31.6""N 106°36'03.4""E",,,,,
Nhà bà Nguyễn thị Đé,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6126,http://ditich.vn\upload\images\ditich\NC-N0316.jpg,"Hải Phòng, Tiên Lãng, Toàn Thắng",Nhà cổ,,,Nhà chính; Đinh Dậu niên (1957) - là năm mua ngôi nhà này về dựng lại,Nhà chính,"20°42'31.6""N 106°36'03.3""E",,,,,
Nhà bà Phạm Thị Hay,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6125,http://ditich.vn\upload\images\ditich\NC-P0120.jpg,"Hải Phòng, Tiên Lãng, Toàn Thắng",Nhà cổ,,,,Nhà chính,"20°42'34.3""N 106°36'14.1""E",,,,,
Đình Đốc Hậu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6124,http://ditich.vn\upload\images\ditich\Di-D0299.jpg,"Hải Phòng, Tiên Lãng, Toàn Thắng",Đình,,,Ông muống,Các công trình,"20°42'34.5""N 106°36'12.9""E","5 vị tướng họ Đặng ở thế kỷ 10 (các vị có tên thật là Xuân, Trung, Thọ, Tuấn, Nghiêm)",01 Bia đình – Chính Hoà 2 (1681) +01 Hoành phi – Bảo Đại Nhâm Thân (1932) +03 Bài vị – 01 Cuối thế kỷ 18 ; 02 Bài vị – Thế kỷ 19 +02 Bát hương – Thế kỷ 19 +01 Thần tích - Đầu thế kỷ 20 +06 Sắc phong (sao),,,
Chùa Đốc Hậu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6123,http://ditich.vn\upload\images\ditich\Ch-D0262.jpg,"Hải Phòng, Tiên Lãng, Toàn Thắng",Chùa,,,Chùa hiện bị sử dụng sai chức năng - làm nhà kho,Tam bảo,"20°42'33.5""N 106°36'10.5""E",Phật,,,Phúc Hậu tự,
Chùa Minh Thị,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6122,http://ditich.vn\upload\images\ditich\Ch-M0073.jpg,"Hải Phòng, Tiên Lãng, Toàn Thắng",Chùa,,,Tiền đường,Tiền đường,"20°42'24.9""N 106°36'15.0""E",Phật,04 Tượng,,Minh Phúc tự,
Nhà cổ ông Hoàng Gia Truyền,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6121,http://ditich.vn\upload\images\ditich\NC-H0032.jpg,"Hải Phòng, Tiên Lãng, Tiên Thanh",Nhà cổ,,,Nhà chính,Nhà chính,"20°43'27.9""N 106°31'37.6""E",,,,,
Đền Hà Đới,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6120,http://ditich.vn\upload\images\ditich\De-H0059.jpg,"Hải Phòng, Tiên Lãng, Tiên Thanh",Đền,,,Hậu cung,Hậu cung,"20°43'38.2""N 106°32'03.6""E","thờ Tướng quân Trần Quốc Thành, Băng Ngọc công chúa",01 Khám thờ – Thế kỷ 19 01 Bát hương – Thế kỷ 19 02 Chuỳ – Cuối thế kỷ 18 02 Đại đao – Cuối thế kỷ 18 01 long ngai – Cuối thế kỷ 17 01 Phủ Việt – Cuối thế kỷ 17 03 Sắc Khải Định 9 (1924),,,
Chùa Hà Đới,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6119,http://ditich.vn\upload\images\ditich\Ch-H0158.jpg,"Hải Phòng, Tiên Lãng, Tiên Thanh",Chùa,,,"Tiền đường, Thượng điện - Cuối thế kỷ 20",,"20°43'33.9""N 106°32'04.3""E",Phật,,,,
Đình Nam Phong,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6118,http://ditich.vn\upload\images\ditich\Di-N0184.jpg,"Hải Phòng, Tiên Lãng, Kiến Thiết",Đình,,,,Đại đình,"20°40'54.6""N 106°31'47.3""E","TS Đặng Hữu Kỷ, Đô Công đại vương, Đào Công đại vương",03 sắc phong,,,
Miếu An Thạch,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6117,http://ditich.vn\upload\images\ditich\Mi-A0008.jpg,"Hải Phòng, Tiên Lãng, Kiến Quốc",Miếu,,,Đại bái,Đại bái,"20°41'04.2""N 106°31'44.1""E",Cao Sơn Bản cảnh thành hoàng,Đồ thở,,,
Chùa An Thạch,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6116,http://ditich.vn\upload\images\ditich\Ch-A0052.jpg,"Hải Phòng, Tiên Lãng, Kiến Quốc",Chùa,,,Tiền đường,Tam bảo,"20°41'06.2""N 106°31'41.8""E",Phật,+03 Tượng,,Pháp Linh tự,
Đền Canh Sơn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6115,http://ditich.vn\upload\images\ditich\De-C0065.jpg,"Hải Phòng, Tiên Lãng, Đoàn Lập",Đền,,,Cửa lăng,Đại bái,"20°41'36.7""N 106°34'06.1""E",Kim Sơn thần vương,"Voi đá - Cuối thế kỷ 19 Ngựa đá - Cuối thế kỷ 19 Lăng đá, Ngai thờ, Sập thờ, bình, bát hương - Đầu thế kỷ 20 - Phong cách Bảo Đại Cửa lăng - Đầu thế kỷ 20 01 Bia",,"Đền Đá, Đền Bì",
Đình Tử Đôi,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6114,http://ditich.vn\upload\images\ditich\Di-T0390.jpg,"Hải Phòng, Tiên Lãng, Đoàn Lập",Đình,,Di tích cấp Tỉnh,Đại đình,Đại đình,"20°43'53.4""N 106°38'35.1""E",Trần Doãn Đàm,02 Bia,UBND Tỉnh - 2006,,
Chùa Vụ Bản,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5686,http://ditich.vn\upload\images\ditich\Ch-V0116.jpg,"Hải Phòng, An Dương, Tân Tiến",Chùa,Di tích kiến trúc nghệ thuật,,Các công trình xây mới năm 2005,PCNT đầu thế kỷ 21,"20°41'50.0""N 106°33'57.1""E",Phật,04 Tượng,,,
Miếu Tiên Đôi Nội,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6113,http://ditich.vn\upload\images\ditich\Mi-T0056.jpg,"Hải Phòng, Tiên Lãng, xã Đoàn Lập",Miếu,,Di tích cấp Tỉnh,Đại bái,Đại bái,"20°41'52.1""N 106°33'21.5""E",Nguyễn Chí Minh – Thành hoàng làng,02 Bia – PCNT Thế kỷ 18 (đã bị mờ hết chữ); +01 Cây hương – PCNT thế kỷ 18 +01 Hoành phi - Đầu thế kỷ 20 +01 bát hương – PCNT Thời Mạc (đã bị vỡ miệng) +04 Sắc phong,UBND Tỉnh - 2007,,
Chùa Tiên Đôi Nội,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6112,http://ditich.vn\upload\images\ditich\Ch-T0355.jpg,"Hải Phòng, Tiên Lãng, Đoàn Lập",Chùa,,Di tích cấp Tỉnh,Tiền đường,Tiền đường,"20°41'53.4""N 106°33'49.9""E",Phật,03 Tượng,UBND Tỉnh - 2007,Sùng Quang tự,
Đình Cựu Đôi,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6111,http://ditich.vn\upload\images\ditich\Di-C0151.jpg,"Hải Phòng, Tiên Lãng, thị trấn Tiên Lãng",Đình,,Di tích cấp Quốc gia,Đại đình,Đại đình,"20°43'26.4""N 106°33'38.8""E",Đào Linh Quang - tướng thời Hai Bà Trưng,+04 Bia,Bộ VHTT xếp hạng di tích năm 1992,,
Chùa Cựu Đôi,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6110,http://ditich.vn\upload\images\ditich\Ch-C0157.jpg,"Hải Phòng, Tiên Lãng, thị trấn Tiên Lãng",Chùa,,,Các công trình mới xây dựng lại năm 2001,,"20°43'25.9""N 106°33'01.1""E",Phật,07 Tượng,,Sùng Ân tự,
Nhà ông Vũ Văn Thước,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6109,http://ditich.vn\upload\images\ditich\NC-V0027.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Nhà cổ,,,Nhà chính,Nhà chính,"20°52'27.1""N 106°03'35.3""E",tổ tiên,,,,
Đền Mỹ Xá,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6108,http://ditich.vn\upload\images\ditich\De-M0031.jpg,"Hưng Yên, Yên Mỹ, Việt Cường",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền bái,Tiền bái; Nửa cuối thế kỷ 20,"20°52'57.3""N 106°00'12.4""E",thần,01 Bia – PCNT TK 19,2006,,
Nghè Thiên Lộc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6106,http://ditich.vn\upload\images\ditich\Mi-T0048.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Nghè,,,,,"20°52'27.1""N 106°03'35.3""E",,,,,
Đền Thượng Bùi,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6105,http://ditich.vn\upload\images\ditich\De-T0036.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Đền,,Di tích cấp Quốc gia,Đại bái,Đại bái- Nửa đầu thế kỷ 20,"20°52'27.1""N 106°03'35.3""E",thần,Đầu TK 20,,,
Đền Vĩnh Hưng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6103,http://ditich.vn\upload\images\ditich\De-V0041.jpg,"Hưng Yên, Yên Mỹ, TT Yên Mỹ",Đền,,,Tiền bái,Tiền bái,"20°53'09.6""N 106°02'13.3""E",thần,01 Chuông,,,
Đền Thiên Đế,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6102,http://ditich.vn\upload\images\ditich\De-T0172.jpg,"Hưng Yên, Yên Mỹ, Tân Lập",Đền,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,,Mới xây lại,"20°53'54.2""N 106°02'60.0""E",thần,Bia đá,2007,,
Nhà thờ xứ Lực Điền,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6101,http://ditich.vn\upload\images\ditich\NT-L0002.jpg,"Hưng Yên, Yên Mỹ, Liêu Xá",Nhà thờ,,,,Nhà thờ,"20°54'52.1""N 106°03'24.3""E",Phật,Đầu TK 20,,,
Đền Hải Thượng Lãn ông,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6100,http://ditich.vn\upload\images\ditich\De-H0056.jpg,"Hưng Yên, Yên Mỹ, Liêu Xá",Đền,,Di tích cấp Quốc gia,,Am thờ cô tổ họ Lê (quần thờ Đền) – PCNT Thế kỷ 18,"20°54'52.1""N 106°03'24.3""E",Hải Thượng Lãn ông,Chó đá- Thế kỷ 18,,,
Chùa Từ Hồ (Đại bi tự),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6099,http://ditich.vn\upload\images\ditich\Ch-T0098.jpg,"Hưng Yên, Yên Mỹ, Yên Phú",Chùa,,,,Nhà tổ,"20°53'05.5""N 105°59'13.5""E",Phật,,,,
Chùa Bình Phú,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6098,http://ditich.vn\upload\images\ditich\Ch-B0114.jpg,"Hưng Yên, Yên Mỹ, Yên Phú",Chùa,,,,Tiền đường+Thượng điện- Nửa đầu thế kỷ 20,"20°53'05.5""N 105°59'13.5""E",Phật,Tượng,,,
Chùa Thành Vàng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6097,http://ditich.vn\upload\images\ditich\Ch-T0324.jpg,"Hưng Yên, Yên Mỹ, Yên Hoà",Chùa,,,Tiền đường,"Tiền đường- Thế kỷ 19, Thượng điện","20°52'18.1""N 105°59'31.8""E",Phật,Thế kỷ 19,,,
Chùa Trung Đạo (Sùng Khánh),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6096,http://ditich.vn\upload\images\ditich\Ch-T0323.jpg,"Hưng Yên, Yên Mỹ, Trung Hưng",Chùa,,Di tích cấp Tỉnh,,Tiền đường,"20°52'20.3""N 106°02'04.7""E",Phật,01 Tượng quan âm – Thế kỷ 18 + Bia đá,2008,,
Chùa Tó (Khánh Vân),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6095,http://ditich.vn\upload\images\ditich\Ch-T0322.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Chùa,,,Tiền đường,Tiền đường+ thượng điện,"20°52'27.1""N 106°03'35.3""E",Phật,,,,
Chùa Thượng Bùi (Phố Quang),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6094,http://ditich.vn\upload\images\ditich\Ch-T0056.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Chùa,,Di tích cấp Quốc gia,,Tiền đường,"20°52'27.1""N 106°03'35.3""E",Phật,,,,
Chùa Long Vĩ ( Long Hoa),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6092,http://ditich.vn\upload\images\ditich\Ch-L0121.jpg,"Hưng Yên, Yên Mỹ, Thanh Long",Chùa,,,Tiền đường,Đầu thế kỷ 21,"20°53'26.8""N 106°01'20.0""E",Phật,Bia đá,,,
Chùa Nhân Lý (Kim Liên),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6091,http://ditich.vn\upload\images\ditich\Ch-N0149.jpg,"Hưng Yên, Yên Mỹ, Thanh Long",Chùa,,,Tiền đường,Tiền đường,"20°53'26.8""N 106°01'20.0""E",Phật,01 Tượng Thiên thủ thiên nhãn - Đầu thế kỷ 18,,,
Chùa Đặng Xá (Hằng Thuỷ),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6090,http://ditich.vn\upload\images\ditich\Ch-D0233.jpg,"Hưng Yên, Yên Mỹ, Thanh Long",Chùa,,,,,"20°53'26.8""N 106°01'20.0""E",Phật,,,,
Chùa Châu Xá (Đại Bi),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6089,http://ditich.vn\upload\images\ditich\Ch-C0144.jpg,"Hưng Yên, Yên Mỹ, Thanh Long",Chùa,,,Tiền đường,Tiền đường,"20°53'26.8""N 106°01'20.0""E",Phật,Thế kỷ 19,,,
Chùa Trai Trang (Nghĩa Lộ),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6088,http://ditich.vn\upload\images\ditich\Ch-T0320.jpg,"Hưng Yên, Yên Mỹ, TT Yên Mỹ",Chùa,,,Tiền đường,Nhà tổ cũ- Cuối thế kỷ 19 Tiền đường,"20°53'09.6""N 106°02'13.3""E",Phật,01 Tượng Quan âm đứng – PCNT Thế kỷ 18,,,
Chùa Lưu Ly (,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6087,http://ditich.vn\upload\images\ditich\Ch-L0120.jpg,"Hưng Yên, Yên Mỹ, TT Yên Mỹ",Chùa,,Di tích cấp Tỉnh,,Tiền đường+Thượng điện,"20°53'09.6""N 106°02'13.3""E",Phật,02 Tượng quan âm đứng – PCNT Đầu thế kỷ 18,2008,,
Chùa Liêu Tố (chùa Tổng),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6085,http://ditich.vn\upload\images\ditich\Ch-L0118.jpg,"Hưng Yên, Yên Mỹ, TT Yên Mỹ",Chùa,,,Xây mới năm 2006,,"20°53'09.6""N 106°02'13.3""E",Phật,01 Bia hậu – Chính Hoà 16 (1695),,,
Chùa Hoan Ái (Phổ Quang),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6084,http://ditich.vn\upload\images\ditich\Ch-H0143.jpg,"Hưng Yên, Yên Mỹ, Tân Việt",Chùa,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Mới xây dựng năm 2004,,"20°51'37.3""N 106°03'50.2""E",Phật,Bia đá,,,
Chùa Cảnh Lâm (Diên Phúc),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6083,http://ditich.vn\upload\images\ditich\Ch-C0143.jpg,"Hưng Yên, Yên Mỹ, Tân Việt",Chùa,,,Tiền đường,Tổng thể công trình,"20°51'37.3""N 106°03'50.2""E",Phật,Chuông,,,
Chùa Ngọc Tỉnh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6082,http://ditich.vn\upload\images\ditich\Ch-N0148.jpg,"Hưng Yên, Yên Mỹ, Ngọc Long",Chùa,,,Tiền đường,Tiền đường,"20°54'41.4""N 106°02'04.9""E",Phật,,,,
Chùa Quảng Uyên (Nhật Tân),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6081,http://ditich.vn\upload\images\ditich\Ch-Q0055.jpg,"Hưng Yên, Yên Mỹ, Minh Châu",Chùa,,,Tiền đường,Tiền đường,"20°51'51.9""N 106°01'18.6""E",Phật,Nửa đầu TK 20,,,
Chùa Liêu Trung,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6080,http://ditich.vn\upload\images\ditich\Ch-L0117.jpg,"Hưng Yên, Yên Mỹ, Liêu Xá",Chùa,,,Tam bảo xây mới năm 2004,,"20°54'52.1""N 106°03'24.3""E",Phật,,,,
Chùa Tử Đông (Đại Bi),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6079,http://ditich.vn\upload\images\ditich\Ch-T0319.jpg,"Hưng Yên, Yên Mỹ, Lý Thường Kiệt",Chùa,,,Tiền đường,Tiền đường,"20°51'25.9""N 106°02'29.8""E",Phật,Bia đá,,,
Chùa Xuân Tràng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6078,http://ditich.vn\upload\images\ditich\Ch-X0031.jpg,"Hưng Yên, Yên Mỹ, Đồng Than",Chùa,,,Tiền đường,Tiền đường,"20°54'52.0""N 106°00'21.6""E",Phật,01 Chuông,,,
Chùa Phạm Xá,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6077,http://ditich.vn\upload\images\ditich\Ch-P0141.jpg,"Hưng Yên, Yên Mỹ, Đồng Than",Chùa,,Di tích cấp Quốc gia,Tiền đường,Tiền đường,"20°54'52.0""N 106°00'21.6""E",Phật,01 Cây hương đá - PCNT Thế kỷ 19,1993,,
Đình Từ Hồ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6076,http://ditich.vn\upload\images\ditich\Di-T0155.jpg,"Hưng Yên, Yên Mỹ, Yên Phú",Đình,,Di tích cấp Quốc gia,Đại bái,"Đại bái - Đầu thế kỷ 20 , Hậu cung - Đầu thế kỷ 20","20°53'05.5""N 105°59'13.5""E","Chử Đồng Tử và hai phu nhân,",01 Chuông,1995,,
Đình Bình Phú,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6075,http://ditich.vn\upload\images\ditich\Di-B0022.jpg,"Hưng Yên, Yên Mỹ, Yên Phú",Đình,,,Đại đình,Đại đình,"20°53'05.5""N 105°59'13.5""E","Chử Đồng Tử và 2 phu nhân, Quý Minh, Tiên Anh phu nhân",,,,
Đình Khoá Nhu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6074,http://ditich.vn\upload\images\ditich\Di-K0065.jpg,"Hưng Yên, Yên Mỹ, Yên Hoà",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền tế,Tiền tế,"20°52'27.1""N 106°03'35.3""E",Chử Đồng Tử và hai phu nhân,,,,
Đình Đông Hoà,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6073,http://ditich.vn\upload\images\ditich\Di-D0272.jpg,"Hưng Yên, Yên Mỹ, Yên Hoà",Đình,,Di tích cấp Tỉnh,Đại đình,Đại đình_ nửa đầu thế kỷ 19,"20°52'27.1""N 106°03'35.3""E",Chử Đồng Tử và hai phu nhân,01 Hương án- PCNT Thế kỷ 19 +02 Hoành phi – Duy Tân +01 Câu đối – Bảo Đại 5 (1930) +01 Ngai thờ- Đầu thế kỷ 19 +01 Quản Tẩy- cuối thế kỷ 19,,,
Đình Thanh Xá,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6072,http://ditich.vn\upload\images\ditich\Di-T0037.jpg,"Hưng Yên, Yên Mỹ, Việt Cường",Đình,,,Đại đình,Đại đình,"20°52'57.3""N 106°00'12.4""E",Thành hoàng Nguyễn Hữu Thuật,,,,
Đình Trung Đạo,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6071,http://ditich.vn\upload\images\ditich\Di-T0369.jpg,"Hưng Yên, Yên Mỹ, Trung Hưng",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,,"20°52'20.3""N 106°02'04.7""E","Hoàng thái hậu Đại vương, Trương Tĩnh tôn thần",02 sắc Cảnh Hưng 44 (1783),,,
Đình làng Rồng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6070,http://ditich.vn\upload\images\ditich\Di-R0006.jpg,"Hưng Yên, Yên Mỹ, Trung Hưng",Đình,,,Trung cung,Đại đình,"20°52'20.3""N 106°02'04.7""E",Phạm Thiện Hộ,Cuối TK 18,,,
Đình làng Hạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6069,http://ditich.vn\upload\images\ditich\Di-H0148.jpg,"Hưng Yên, Yên Mỹ, Trung Hưng",Đình,,Di tích cấp Tỉnh,Đại đình,Đại đình; Nửa đầu thế kỷ 20,"20°52'20.3""N 106°02'04.7""E",Đặng Chiêu Trung ( thành hoàng làng),Đầu TK 20,2008,,
Đình Xuân Tảo,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6068,http://ditich.vn\upload\images\ditich\Di-X0045.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Đình,,,,Đại đình,"20°52'27.1""N 106°03'35.3""E",Thành Hoàng,Bia đá,,,
Đình Thượng Bùi,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6067,http://ditich.vn\upload\images\ditich\Di-T0091.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Đình,,Di tích cấp Quốc gia,,Đại đình,"20°52'27.1""N 106°03'35.3""E",Đô Hồ,Đầu TK 20,1995,,
"Đình Thiên Lộc (Đình Đông, Đình Ngoài)",http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6066,http://ditich.vn\upload\images\ditich\Di-T0368.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Đình,,,,Đại đình,"20°52'27.1""N 106°03'35.3""E",Cao Sơn Đại vương,Đầu TK 20,,,
Đình Tam Trạch,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6065,http://ditich.vn\upload\images\ditich\Di-T0367.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Đại đình,"20°52'27.1""N 106°03'35.3""E","Lữ Nhữ công chúa tôn thần, sở vương đinh tôn thần, Bản cảnh thành hoàng",+01 Ngai thờ – PCNT Cuói thế kỷ 17 +01 Bài vị – PCNT Cuối thế kỷ 17,,,
Đình Quần Ngọc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6064,http://ditich.vn\upload\images\ditich\Di-Q0045.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Đình,,,Đại đình,Đại đình,"20°52'27.1""N 106°03'35.3""E","Thượng tướng quân, Linh Lang, Thuỷ Tần phu nhân",Thế kỷ 19,,,
Đình Nghĩa Xuyên,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6063,http://ditich.vn\upload\images\ditich\Di-N0170.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Đại đình,Đại đình,"20°52'27.1""N 106°03'35.3""E","Địch Tiền công chúa, Quý Minh, Cao Sơn,",02 Ngai thờ – cuối thế kỷ 19 02 Bài vị – PCNT Cuối thế kỷ 19,,,
Đình Nguyễn Xá,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6062,http://ditich.vn\upload\images\ditich\Di-N0169.jpg,"Hưng Yên, Yên Mỹ, Trung Hoà",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,Đại đình; Cuối thế kỷ 19 đầu thế kỷ 20,"20°52'27.1""N 106°03'35.3""E","Uy Liệt tôn thần, Nguyệt trinh phu nhân",01 Bia đá,2007,,
